"networkwater_calc";"networkwater_actual";"makeupwater_calc";"makeupwater_min";"makeupwater_actual";"supplytemp_calc";"supplytemp_actual";"supplytemp_diff";"returntemp_calc";"returntemp_actual";"returntemp_diff";"gvstemp_actual";"dailyconsumption_plan";"dailyconsumption_actual";"saving_overspending";"scored_request";"deviationfromplan";"supplycollectors_actual";"specificfuel_actual";"date";"filia";"boiler";"fuel"
3245;2966;35.5;24;32.7;77.5;72.1;5.4;47.7;44.3;3.4;58;247930;0;247930;0;0;2034.2;0;2022-01-31;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3245;3008.8;35.5;24;35.8;72.5;67.4;5.1;45.7;42.2;3.5;58;238875;236184;2691;238875;-1.1;2034.2;116.1;2022-01-30;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3040;3021.5;35.5;24;31.6;70.1;65.5;4.6;44.7;41.7;3;58;226430;222509;3921;226430;-1.8;2034.2;109.4;2022-01-29;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3245;3060.5;35.5;24;31.2;78.7;69.4;9.3;48.2;43.9;4.3;58;253909;249238;4671;253909;-1.9;2034.2;122.5;2022-01-28;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3245;3095.5;35.5;24;30.5;87.3;73.3;14;51.7;44.3;7.4;58;300155;283180;16975;285500;-0.8;2117.8;133.7;2022-01-27;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3245;3119.5;35.5;24;30.1;86.8;73.7;13.1;51.5;44.5;7;58;300155;285382;14773;300155;-5.2;2034.2;140.3;2022-01-26;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3245;3105;35.5;24;31;88;73.9;14.1;51.9;44.8;7.1;58;293539;282149;11390;293539;-4;2125.4;132.8;2022-01-25;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3040;2971.5;35.5;24;33.2;81.9;75.5;6.4;49.5;45.6;3.9;58;277833;277455;378;283055;-2;2066.1;134.3;2022-01-24;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3040;2968.5;35.5;24;33.8;79.8;76.2;3.6;48.7;46;2.7;58;282955;281949;1006;282955;-0.4;2099.4;134.3;2022-01-23;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3040;2968.3;35.5;24;33.2;79.6;75.2;4.4;48.6;45.3;3.3;58;276133;276070;63;276133;0;2073.1;133.2;2022-01-22;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
3040;2964.3;35.5;24;32.8;74.4;70.9;3.5;46.5;43.9;2.6;58;258065;253680;4385;258000;-1.7;1877;135.2;2022-01-21;"ФК ГТС Александровского р-на";"вул. Святого Миколая,79а";"газ"
0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;54.7;0;2022-01-31;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;0;0;0;0;0;0;0;0;0;0;59;19500;18524;976;19500;-5.3;54.7;338.5;2022-01-30;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;0;0;0;0;0;0;0;0;0;0;59;21500;20879;621;21500;-3;54.7;381.6;2022-01-29;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;175;0;0;0;0;69.6;0;0;40;0;55.3;17000;13224;3776;17000;-28.6;54.7;241.7;2022-01-28;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;171;0;0;0;0;71.6;0;0;41;0;56.3;0;0;0;0;0;128.2;0;2022-01-27;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;173;0;0;0;0;72.8;0;0;41.8;0;57;0;0;0;0;0;54.7;0;2022-01-26;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;179.7;0;0;0;0;73.4;0;0;40.5;0;58.3;1394;1394;0;1394;0;128.3;10.9;2022-01-25;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;0;0;0;0;0;0;0;0;0;0;59.8;17100;17001;99;17100;-0.6;132;128.8;2022-01-24;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;0;0;0;0;0;0;0;0;0;0;60.3;17200;16903;297;17200;-1.8;132.1;128;2022-01-23;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;0;0;0;0;0;0;0;0;0;0;60.5;18800;17599;1201;18800;-6.8;136.6;128.8;2022-01-22;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
0;0;0;0;0;0;0;0;0;0;0;60.5;21200;20873;327;21200;-1.6;162.5;128.4;2022-01-21;"ФК ГТС Александровского р-на";"вул. Чубанова, 3д";"газ"
766;670;0;0;0;74.5;71;3.5;42.9;40;2.9;0;0;0;0;0;0;0;0;2022-01-31;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;730;0;0;0;69.9;65.4;4.5;41.5;39.5;2;0;0;0;0;0;0;0;0;2022-01-30;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;730;0;0;0;67.7;62.6;5.1;40.8;39.3;1.5;0;0;0;0;0;0;0;0;2022-01-29;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;735;0;0;0;75.6;66.5;9.1;43.3;39;4.3;0;0;0;0;0;0;0;0;2022-01-28;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;740;0;0;0;83.7;65.8;17.9;45.8;39.3;6.5;0;0;0;0;0;0;0;0;2022-01-27;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;740;0;0;0;83.3;67;16.3;45.7;39.8;5.9;0;0;0;0;0;0;0;0;2022-01-26;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;725;0;0;0;84.3;69;15.3;46;40;6;0;0;0;0;0;0;0;0;2022-01-25;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;670;0;0;0;78.6;73.3;5.3;44.2;40.8;3.4;0;0;0;0;0;0;0;0;2022-01-24;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;680;0;0;0;76.7;73.5;3.2;43.6;41;2.6;0;0;0;0;0;0;0;0;2022-01-23;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;680;0;0;0;76.5;71.8;4.7;43.6;40.5;3.1;0;0;0;0;0;0;0;0;2022-01-22;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
766;677.5;0;0;0;71.6;67.6;4;42;39.8;2.2;0;0;0;0;0;0;0;0;2022-01-21;"ФК ГТС Александровского р-на";"Насосна вул. Чубанова, 3є";"газ"
890;895;18.3;17.8;19;78;73.7;4.3;45.1;41.1;4;60;89092;0;89092;0;0;825;0;2022-01-31;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;895;18.3;17.8;16;72.4;65;7.4;42.9;38;4.9;60;94285;93762;523;94285;-0.6;825;113.6;2022-01-30;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;895;18.3;17.8;17.5;69.7;63.3;6.4;41.9;38;3.9;60;89092;88992;100;89092;-0.1;825;107.9;2022-01-29;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;895;18.3;17.8;22.1;79.3;69.1;10.2;45.6;40;5.6;60;100517;100260;257;100517;-0.3;825;121.5;2022-01-28;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;894.8;18.3;17.8;20.4;89;75.3;13.7;49.2;41.8;7.4;60;115056;114892;164;115056;-0.1;864.3;132.9;2022-01-27;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;895;18.3;17.8;20.2;88.5;75.4;13.1;49;41.6;7.4;60;115056;114649;407;115056;-0.4;825;139;2022-01-26;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;895;18.3;17.8;20.7;89.8;73.6;16.2;49.5;41;8.5;60;112460;111288;1172;112460;-1.1;836.4;133.1;2022-01-25;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;895;18.3;17.8;18.8;83;75.1;7.9;47;41.4;5.6;60;112460;112405;55;115056;-2.4;844.8;133.1;2022-01-24;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;894.3;18.3;17.8;19.6;80.6;75.6;5;46.1;42;4.1;60;115056;115042;14;115056;0;865.7;132.9;2022-01-23;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;895;18.3;17.8;18.8;80.4;74.2;6.2;46;41.1;4.9;60.3;112460;111952;508;112460;-0.5;844.9;132.5;2022-01-22;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
890;896.3;18.3;17.8;19.6;74.5;71.5;3;43.8;41.4;2.4;60;104671;102941;1730;104671;-1.7;773.6;133.1;2022-01-21;"ФК ГТС Заводского р-на";"вул. Адмірала Ушакова, 251";"газ"
1585;1551;16.3;8.6;10;79.5;75;4.5;45.2;43;2.2;58;130687;0;130687;0;0;1168;0;2022-01-31;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1563.3;16.3;8.6;9.8;74.8;67.9;6.9;44.1;40;4.1;58;137653;137338;315;137600;-0.2;1168;117.6;2022-01-30;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1566.8;16.3;8.6;9.7;72.3;67;5.3;43.2;40;3.2;59.5;130687;130289;398;130687;-0.3;1168;111.6;2022-01-29;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1568;16.3;8.6;9.8;80.4;71.5;8.9;45.3;42;3.3;58;146013;140993;5020;146013;-3.6;1168;120.7;2022-01-28;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1568.3;16.3;8.6;9.5;87.5;77.1;10.4;47.7;44.8;2.9;58;165520;160152;5368;165520;-3.4;1208;132.6;2022-01-27;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1564;16.3;8.6;9.8;87.1;77.5;9.6;47.6;44.5;3.1;60;165520;161479;4041;162020;-0.3;1168;138.3;2022-01-26;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1549.5;16.3;8.6;9.7;88.2;75.5;12.7;48;43.3;4.7;58;162037;154217;7820;156000;-1.2;1163.3;132.6;2022-01-25;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1546.5;16.3;8.6;10;83.4;75.8;7.6;46.2;43.5;2.7;58;162037;154091;7946;165520;-7.4;1162.3;132.6;2022-01-24;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1541;16.3;8.6;10.9;81.3;77.6;3.7;45.5;44.5;1;58;165520;163806;1714;164520;-0.4;1235.6;132.6;2022-01-23;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1543.3;16.3;8.6;9.7;81.1;77;4.1;45.4;44;1.4;60;162037;158994;3043;159037;0;1176.1;135.2;2022-01-22;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
1585;1549;16.3;8.6;10;76.7;73.3;3.4;44.5;42.3;2.2;58;151587;151433;154;151587;-0.1;1142.3;132.6;2022-01-21;"ФК ГТС Коммунарского р-на";"вул. Парамонова, 15в";"газ"
76;80;0.2;0.1;0.2;78.7;75;3.7;45.5;48;-2.5;60;7555;0;7555;0;0;64.9;0;2022-01-31;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.3;73;67.1;5.9;43.3;42.1;1.2;60;7896;7126;770;7890;-10.7;64.9;109.8;2022-01-30;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.3;70.3;64;6.3;42.2;40.3;1.9;60;7555;6528;1027;7555;-15.7;64.9;100.6;2022-01-29;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.3;80;69.8;10.2;46;42.5;3.5;60;8304;7446;858;7500;-0.7;64.9;114.7;2022-01-28;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.3;89.8;77.3;12.5;49.7;46;3.7;60;9258;8905;353;9158;-2.8;60.6;147;2022-01-27;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.2;89.3;77.5;11.8;49.5;46;3.5;60;9258;8606;652;9150;-6.3;64.9;132.6;2022-01-26;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.2;90.6;76;14.6;50;45.8;4.2;60;9088;8867;221;9800;-10.5;60.3;147.1;2022-01-25;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.2;83.7;76;7.7;47.4;45.8;1.6;60;9088;8521;567;8600;-0.9;57.9;147.2;2022-01-24;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.3;81.3;77.8;3.5;46.5;45.5;1;60;9258;8704;554;8768;-0.7;59.2;147.1;2022-01-23;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;80;0.2;0.1;0.2;81.1;77.3;3.8;46.4;45.5;0.9;60;9088;8420;668;9008;-7;57.8;145.7;2022-01-22;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
76;79.5;0.2;0.1;0.2;75.2;72;3.2;44.1;44.3;-0.2;60;8577;7898;679;8577;-8.6;53.7;147.1;2022-01-21;"ФК ГТС Коммунарского р-на";"вул. Оріхівське шосе, 10 (ОКЛ)";"газ"
127;135;0;0;0;78.1;74;4.1;48.1;46;2.1;58;9695;0;9695;0;0;88.8;0;2022-01-31;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
127;136.5;0;0;0;73.1;67;6.1;46;42.3;3.7;58;10274;10220;54;10270;-0.5;88.8;115.1;2022-01-30;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
127;137;0;0;0;70.6;65;5.6;45;41.8;3.2;60;9695;9679;16;9695;-0.2;88.8;109;2022-01-29;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
127;136;0;0;0;78.4;70.3;8.1;48.6;44.1;4.5;58;10969;10666;303;10969;-2.8;88.8;120.1;2022-01-28;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
127;135;0;0;0;86.1;75;11.1;52.2;46.8;5.4;58;12591;11843;748;12591;-6.3;89.3;132.6;2022-01-27;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
127;135;0;0;0;85.6;76;9.6;52;46.5;5.5;58;12591;12183;408;12490;-2.5;88.8;137.2;2022-01-26;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
127;135;0;0;0;86.8;75;11.8;52.4;46.3;6.1;58;12301;11746;555;11700;0.4;88.5;132.7;2022-01-25;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
127;135;0;0;0;80.8;74.8;6;50;46.5;3.5;58;12301;11633;668;12100;-4;88.4;131.5;2022-01-24;"ФК ГТС Коммунарского р-на";"вул. Жасмінна, 5";"газ"
